"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"310","Normal/Others","WS/MP18271/2025-2026/135179-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at  Sitalkuchi High School of Sitalkuchi Gram Panchayat under Sitalkuchi Block of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"311","Normal/Others","WS/MP18271/2025-2026/135180-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at  Jorepatki High School of Jorepatki Gram Panchayat under Mathabhanga-I Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"312","Normal/Others","WS/MP18271/2025-2026/135181-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at  Shikarpur High School of Shikarpur Gram Panchayat under Mathabhanga-I Block of District Coochbehar","17-Feb-2025","586716","27-Aug-2025"
"313","Normal/Others","WS/MP18271/2025-2026/135182-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Hazrahat Harish Chandra High School of Hazrahat-I Gram Panchayat under Mathabhanga-I Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"314","Normal/Others","WS/MP18271/2025-2026/135183-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Ghoksadanga Pramanik High School of Ghokshadanga Gram Panchayat under Mathabhanga-II Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"315","Normal/Others","WS/MP18271/2025-2026/135184-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Nishiganj Nishimoyee High School of Nishiganj-I Gram Panchayat under Mathabhanga-II Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"316","Normal/Others","WS/MP18271/2025-2026/135185-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Fulbari High School of Fulbari Gram Panchayat under Mathabhanga-II Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"317","Normal/Others","WS/MP858/2024-2025/135206-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of CCroad from Panja pukur to moltalar par at Mongalkote gp ,Excuting will be EO Mongalkote panchyat Samity","08-Aug-2024","389830","22-Nov-2024"
"318","Normal/Others","WS/MP858/2024-2025/135207-Construction of community centers and community halls","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of Community hall at jhilu Astana para,Excuting Agency will be EO Mongalkote Panchyet Samity","08-Aug-2024","406558","22-Nov-2024"
"319","Normal/Others","WS/MP858/2024-2025/135208-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of CC road from nowpara Hara sk house to Sahanewaj house under Jhilu GP Excuting will be E O Mongalkote Panchyaet Samity","09-Aug-2024","355898","22-Nov-2024"
"320","Normal/Others","WS/MP858/2024-2025/135209-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of CC Road from durmut Bonkapasi to Babul farm at kaichor GP .Excuting Agency will be E O Mongalkote Panchyet Samity","09-Aug-2024","342129","22-Nov-2024"
"321","Normal/Others","WS/MP18271/2025-2026/135210-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Chowdhurihat Vivekananda Vidyamandir of Chowdhurihat Gram Panchayat under Dinhata-II Block of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"322","Normal/Others","WS/MP18271/2025-2026/135211-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Dinhata Mission Girls High School of Baro Atiyabari-II Gram Panchayat under Dinhata-I Block of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"323","Normal/Others","WS/MP18271/2025-2026/135212-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Goshairhat High School of Goshairhat Gram Panchayat under Sitalkuchi Block of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"324","Normal/Others","WS/MP18271/2026-2027/135215-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","ESTIMATE FOR CONSTRUCTION OF PAVER BLOCK FOOTPATH AT LALBAZAR DHANHATI UNDER NAGAR LALBAZAR G.P. WITHIN SITALKUCHI P.S.","07-Mar-2025","1298112","01-Sep-2026"
"325","Normal/Others","WS/MP18271/2026-2027/135216-Purchase of immovable sports equipment","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","ESTIMATE FOR SUPPLYING WITH INSTALLATION OF PARKING GAME MATERIALS INSTRUMENTS TOYS FOR PANCHAYAT SAMITI PARK WITHIN SITALKUCHI DEV. BLOCK IN THE DISTRICT OF COOCH BEHAR.","07-Mar-2025","1077149","01-Sep-2026"
"326","Normal/Others","WS/MP18271/2026-2027/135219-Development of public parks","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","CONSTRUCTION OF BOUNDARY WALL AT PANCHAYAT SAMITI PARK WITHIN SITALKUCHI DEV. BLOCK IN THE DISTRICT OF COOCH BEHAR.","07-Mar-2025","2823486","01-Sep-2026"
"327","Normal/Others","WS/MP858/2024-2025/135221-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of CC road from Klapur bhudai sk house to Alamgir house at lakuria gp ,Excuting agency will be E O MONGAL KOTE PANCHYET SAMITY.","09-Aug-2024","407181","22-Nov-2024"
"328","Normal/Others","WS/MP858/2024-2025/135222-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of CC Road from hamid house to baby house at chanak GP ,EXECUTING AGENCY WILL BE  E O MONGALKOTE PANCHAYET SAMITY","09-Aug-2024","404328","22-Nov-2024"
"329","Normal/Others","WS/MP858/2024-2025/135223-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","CONSTRUCTION OF C C ROAD FROM MURULA SAMONTO SAHA HOUSE TO UDAY DUTTA HOUSE AT KAICHOR GP ,EXCUTING WILL BE E O MONGALKOTE PANCHYET SAMITY.","09-Aug-2024","406884","22-Nov-2024"
"330","Normal/Others","WS/MP18065/2025-2026/135231-Construction of boundary walls of existing public and community buildings","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","Construction of Boundary Wall at Rashi Wala Community Centre","09-Aug-2024","500000","16-Mar-2026"
"331","Normal/Others","WS/MP18065/2024-2025/135232-Construction of community centers and community halls","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","Const. Shed in Punjabi Dharamshala","09-Aug-2024","1100000","22-Nov-2024"
"332","Normal/Others","WS/MP18153/2024-2025/135255-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Ale Wala","09-Aug-2024","232062","30-Aug-2024"
"333","Normal/Others","WS/MP18153/2024-2025/135256-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Mahalam","09-Aug-2024","232415","30-Aug-2024"
"334","Normal/Others","WS/MP18153/2024-2025/135257-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Sher Khan Wala","09-Aug-2024","232180","30-Aug-2024"
"335","Normal/Others","WS/MP18153/2024-2025/135258-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Village Sher Khan Wala","09-Aug-2024","232415","30-Aug-2024"
"336","Normal/Others","WS/MP18153/2024-2025/135259-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Kabbar Wachha","09-Aug-2024","232650","30-Aug-2024"
"337","Normal/Others","WS/MP18153/2024-2025/135260-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Kabbar wachha","09-Aug-2024","232415","30-Aug-2024"
"338","Normal/Others","WS/MP18153/2024-2025/135261-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Boys Mudki City","09-Aug-2024","232180","30-Aug-2024"
"339","Normal/Others","WS/MP18153/2024-2025/135262-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Ghall Khurd","09-Aug-2024","232697","30-Aug-2024"
"340","Normal/Others","WS/MP18153/2024-2025/135263-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. Smart School Mana Singh Wala","09-Aug-2024","232415","30-Aug-2024"
"341","Normal/Others","WS/MP18153/2024-2025/135264-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala","09-Aug-2024","241056","30-Aug-2024"
"342","Normal/Others","WS/MP18153/2024-2025/135265-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Kutti","09-Aug-2024","240833","30-Aug-2024"
"343","Normal/Others","WS/MP18153/2024-2025/135266-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System Capacity 500 Ltrs. at Govt. Girls Sen. Sec. School Mudki City","09-Aug-2024","232415","30-Aug-2024"
"344","Normal/Others","WS/MP18250/2024-2025/135267-Installing tube-wells and borewells","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 10 nos. (sl.no. 1 to 10) Arsenic Free electric based water tank under Falti Beloiaghata G.P and Barasat II P.S","09-Aug-2024","3492520","19-Sep-2024"
"345","Normal/Others","WS/MP18250/2024-2025/135268-Installing tube-wells and borewells","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 10 nos. (sl. no.11 to 20) Arsenic Free water tank under Shasan G.P and Barasat II P.S","09-Aug-2024","3500000","25-Sep-2024"
"346","Normal/Others","WS/MP18250/2024-2025/135269-Installing tube-wells and borewells","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","SK NURUL ISLAM","BASIRHAT","Installation of 10 nos. (sl. no.21 to 28) Arsenic Free water tank under Ghoraas Kulingram G.P and Basirhat II P.S","09-Aug-2024","2800000","23-Sep-2024"
"347","Normal/Others","WS/MP18271/2025-2026/135271-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Coochbehar Rambhola High School under Coochbehar Municipality of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"348","Normal/Others","WS/MP18271/2025-2026/135272-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Mathabhanga High School under Mathabhanga Municipality  of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"349","Normal/Others","WS/MP18271/2025-2026/135273-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60 W Semi Integrated Street light with 60Ah Li-ion cell at  Dinhata Soni Devi Jain High School under Dinhata Municipality  of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"350","Normal/Others","WS/MP18271/2026-2027/135277-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","ESTIMATE FOR CONSTRUCTION OF BLACKTOP ROAD FROM NH-31 NEAR HOUSE OF DHIREN BARMAN TO HOUSE OF BAJLE RAHAMAN VIA HOUSE OF PRAFULLA BARMAN AT GHOGAR KUTHI UNDER CHILAKHANA G.P. WITHIN TUFANGANJ-I P.S.","07-Mar-2025","5925309","01-Sep-2026"
"351","Normal/Others","WS/MP858/2024-2025/135279-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","CONSTRUCTION OF C C ROAD FROM PMGSY ROAD TO ANU DAS HOUSE AT BHALUGRAM GP ,EXCUTING AGENCY WILL BE MONGALKOTE PANCHYET SAMITY","09-Aug-2024","356247","22-Nov-2024"
"352","Normal/Others","WS/MP858/2024-2025/135283-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","CONSTRUCTION OF C C ROAD FROM ATAKULA LALU THANDER HOUSE TO AJOY NADBAD AT BHALUGRAM GP, EXCUTING AGENCY WILL BE E O MONGALKOTE PANCHYET SAMITY.","09-Aug-2024","355925","22-Nov-2024"
"353","Normal/Others","WS/MP18271/2026-2027/135284-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","ESTIMATE FOR CONSTRUCTION OF BLACKTOP ROAD FROM BABUMIAH TO CHANDI SAL ROAD VIA SASHADHAR ROY HOUSE AT DUDHER KUTHI DEWANBOSH UNDER SUKTABARI G.P. WITHIN COOCH BEHAR-I P.S.","07-Mar-2025","5697372","01-Sep-2026"
"354","Normal/Others","WS/MP858/2024-2025/135386-Street lights","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","BOLPUR(SC)","installation 4 NO of high mast light at ROAD SIDE OF  S N COLLEGE , Dwarka GP OFFICE , Sawgram melatola and KURUNAHAR MARKET .Excuting Agency will be E O LABHPUR PANCHYET SAMITY","12-Aug-2024","1754225","13-Sep-2024"
"355","Normal/Others","WS/MP858/2024-2025/135387-Street lights","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","BOLPUR(SC)","Installation of 3 no of high mast street light at SASTINAGAR BUS STOP,THIBA GP OFFICE,CM-II GP OFFICE Excuting Agency will be E O LABHPUR PANCHYET SAMITY","12-Aug-2024","1315668","13-Sep-2024"
"356","Normal/Others","WS/MP812/2024-2025/135399-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","GP KHAIRI ME KHALIHAN KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","18-Feb-2025"
"357","Normal/Others","WS/MP812/2024-2025/135400-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","GP LAXMIPUR PADRAHAWA ME CHAURAHE PAR HIGH MAST KI STHAPANA","17-Aug-2024","236234","18-Feb-2025"
