"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2225","Normal/Others","WS/MP334/2024-2025/139875-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir in sohandih tola of rangamati village of patki panchayat","09-Sep-2024","22000","08-Oct-2024"
"2226","Normal/Others","WS/MP334/2024-2025/139876-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kaali mandir in patki","09-Sep-2024","22000","08-Oct-2024"
"2227","Normal/Others","WS/MP334/2024-2025/139877-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chiniagadha mod ambedkar sthal in patki","09-Sep-2024","22000","08-Oct-2024"
"2228","Normal/Others","WS/MP334/2024-2025/139878-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near banjrang bali mandir in suarmarwa tola in rangamati","09-Sep-2024","22000","08-Oct-2024"
"2229","Normal/Others","WS/MP334/2024-2025/139879-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrang bali mandir in nawadih tola in rangamati","09-Sep-2024","22000","08-Oct-2024"
"2230","Normal/Others","WS/MP334/2024-2025/139880-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near ramrajya mela in bagjobra tola patki panchayat","09-Sep-2024","22000","08-Oct-2024"
"2231","Normal/Others","WS/MP334/2024-2025/139881-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrang bali sthal in manitungri in patki","09-Sep-2024","22000","08-Oct-2024"
"2232","Normal/Others","WS/MP334/2024-2025/139887-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali sthal baytola in kodarma village of arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2233","Normal/Others","WS/MP334/2024-2025/139888-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir kodarma in arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2234","Normal/Others","WS/MP334/2024-2025/139889-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near turi tola mansa mandir in kodarma in arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2235","Normal/Others","WS/MP334/2024-2025/139890-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandir in gaga in arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2236","Normal/Others","WS/MP334/2024-2025/139891-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near panchayat bhavan in arjua","09-Sep-2024","22000","08-Oct-2024"
"2237","Normal/Others","WS/MP334/2024-2025/139892-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv durga mandir in irgua of arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2238","Normal/Others","WS/MP334/2024-2025/139893-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kali mandir chiruabeda tola in gaga in arjua panchayat","09-Sep-2024","22000","07-Oct-2024"
"2239","Normal/Others","WS/MP334/2024-2025/139894-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near dev sthal ghamna tola in gaga of arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2240","Normal/Others","WS/MP334/2024-2025/139895-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near imli ped dev sthan in merudaru of arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2241","Normal/Others","WS/MP334/2024-2025/139896-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandir kodarma of arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2242","Normal/Others","WS/MP334/2024-2025/139897-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali sthal lavagadha in arjua panchayat","09-Sep-2024","22000","08-Oct-2024"
"2243","Normal/Others","WS/MP334/2024-2025/139901-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kumu munda house in jaruatand in darid","09-Sep-2024","22000","07-Oct-2024"
"2244","Normal/Others","WS/MP334/2024-2025/139902-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near balmukund munda house in jaruatand in darid","09-Sep-2024","22000","07-Oct-2024"
"2245","Normal/Others","WS/MP334/2024-2025/139903-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kojram upendranath soren house in karmaakhada in darid panchayat","09-Sep-2024","22000","07-Oct-2024"
"2246","Normal/Others","WS/MP334/2024-2025/139904-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near hari mandir bhagath in darid","09-Sep-2024","22000","07-Oct-2024"
