"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2172","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2026-2027/242870","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","03-Sep-2026","SANDY INFRA","Payment In-Progress","649412"
"2173","Gujarat","Construction of public toilets and bathrooms","WS/MP18055/2025-2026/181568","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","29-Aug-2026","GRAM PANCHAYAT NASIRPUR","Payment In-Progress","100000"
"2174","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","Saini Iron Store Ahmadpur","Payment In-Progress","97708"
"2175","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","Rajinder Kaur Sarpanch Thali Khurd","Payment In-Progress","24744"
"2176","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/256397","Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA)","Gumma Thanuja Rani","ARAKU(ST)","18-Aug-2026","Palasi Pentaiah","Payment In-Progress","491711"
"2177","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18004/2025-2026/256400","Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA)","Gumma Thanuja Rani","ARAKU(ST)","18-Aug-2026","Palasi Pentaiah","Payment In-Progress","491689"
"2178","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/177170","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","05-Sep-2026","ASSAM POWER AND CONSTRUCTION","Payment In-Progress","119974"
"2179","Maharashtra","Construction of buildings for multi-gym","WS/MP18116/2026-2027/232150","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","13-Aug-2026","DHANSHREE GANGARAM PATIL","Payment In-Progress","2447691"
"2180","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","fUL kANWAR","Payment In-Progress","3408"
"2181","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","Bhagwan Singh","Payment In-Progress","1988"
"2182","Karnataka","Construction of buildings for community cultural activities","WS/	 MP620/2025-2026/206428","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","05-Aug-2026","VEERANNA RAMPPA BARAKER","Payment In-Progress","397413"
"2183","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2024-2025/160990","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","06-Aug-2026","ALI P B","Payment In-Progress","1129210"
"2184","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","BABUN KUMAR SAHU","Payment In-Progress","268878"
"2185","Jharkhand","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18072/2026-2027/226114","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","01-Sep-2026","MITTAL MOTORS","Payment In-Progress","138529"
"2186","Jharkhand","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18072/2026-2027/226111","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","01-Sep-2026","MITTAL MOTORS","Payment In-Progress","138529"
"2187","Jharkhand","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18072/2026-2027/226115","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","01-Sep-2026","MITTAL MOTORS","Payment In-Progress","138529"
"2188","Jharkhand","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18072/2026-2027/226113","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","01-Sep-2026","MITTAL MOTORS","Payment In-Progress","138529"
"2189","Jharkhand","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18072/2026-2027/226112","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","01-Sep-2026","MITTAL MOTORS","Payment In-Progress","138529"
"2190","Odisha","Construction of community centers and community halls","WS/MP18358/2024-2025/164798","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","25-Aug-2026","Susanta Kumar Polei","Payment In-Progress","200000"
"2191","Odisha","Construction of community centers and community halls","WS/MP18150/2025-2026/273406","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","05-Sep-2026","BDO MANESWAR MPLAD HOLDING","Payment In-Progress","13585"
"2192","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272844","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","05-Sep-2026","BDO MANESWAR MPLAD HOLDING","Payment In-Progress","16500"
"2193","Chhattisgarh","Construction of rooms and halls in school and colleges","WS/MP18336/2025-2026/184865","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","07-Aug-2026","VIKAS CONSTRUCTIONS","Payment In-Progress","446691"
"2194","Chhattisgarh","Construction of community centers and community halls","WS/MP18336/2025-2026/156452","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","07-Aug-2026","POOJA CONSTRUCTION","Payment In-Progress","250000"
"2195","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP685/2026-2027/246450","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Shrirang Appa Barne","MAVAL","01-Sep-2026","Runali Rajendra Birje","Payment In-Progress","500000"
"2196","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/247437","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","24-Aug-2026","Ms Gopesh International Contractor","Payment In-Progress","729357"
"2197","West Bengal","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","WS/MP18248/2025-2026/201771","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","21-Aug-2026","SOUMEN DAS","Payment In-Progress","479310"
"2198","Karnataka","Development of playground","WS/MP18082/2025-2026/218576","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","02-Sep-2026","VIVEK RAM M R","Payment In-Progress","398919"
"2199","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2026-2027/231424","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","13-Aug-2026","RAV INFRA","Payment In-Progress","1109475"
"2200","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP791/2025-2026/252186","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","03-Sep-2026","BAJRANGI TRADING COMPANY","Payment In-Progress","859040"
"2201","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","49099"
"2202","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","43200"
"2203","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","21000"
"2204","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","50000"
"2205","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","50000"
"2206","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","49850"
"2207","Jammu And Kashmir","Construction of community centers and community halls","WS/MP18260/2025-2026/251565","Budgam(Deputy Commissioner  Budgam_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","18-Aug-2026","executive engineer R B BUDGAM","Payment In-Progress","36000"
"2208","Andhra Pradesh","Construction of night shelters for homeless","WS/MP522/2025-2026/253875","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","02-Sep-2026","CHITRADA VIJAYA","Payment In-Progress","357845"
"2209","Andhra Pradesh","Construction of night shelters for homeless","WS/MP522/2025-2026/253876","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","02-Sep-2026","CHITRADA VIJAYA","Payment In-Progress","384865"
"2210","Kerala","Purchase of mobile sanitation equipment","WS/MP351/2025-2026/157131","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","05-Sep-2026","PRADOSHAN U","Payment In-Progress","29112"
"2211","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP405/2025-2026/255426","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","13-Aug-2026","NUKALA SRINIVASARAO","Payment In-Progress","587734"
"2212","Maharashtra","Construction of community centers and community halls","WS/MP18116/2025-2026/213032","THANE(DISTRICT COLLECTOR THANE_IDA)","BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","26-Aug-2026","yashraj kashinath pashte","Payment In-Progress","989052"
"2213","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18066/2025-2026/246590","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","13-Aug-2026","RAHUL","Payment In-Progress","32689"
"2214","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18066/2025-2026/246590","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","13-Aug-2026","SHREE KRISHNA ENTERPRISES","Payment In-Progress","178842"
"2215","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18066/2025-2026/246590","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","13-Aug-2026","JAI BABA KHAK NATH WELDING WORKSHOP","Payment In-Progress","67260"
"2216","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/257228","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","31-Aug-2026","HARSADPUR GRAM PANCHAYAT","Payment In-Progress","400000"
"2217","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/257229","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","31-Aug-2026","HARSADPUR GRAM PANCHAYAT","Payment In-Progress","349984"
"2218","Madhya Pradesh","Construction of culverts and bridges","WS/MP18101/2026-2027/287605","DAMOH(DISTRICT COLLECTOR DAMOH_IDA)","RAHUL SINGH LODHI","DAMOH","13-Aug-2026","GRAM PANCHAYAT PADAJHIR","Payment In-Progress","1000000"
"2219","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP017/2026-2027/235389","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","13-Aug-2026","M VELU","Payment In-Progress","399772"
"2220","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Prem kahar","Payment In-Progress","3705"
"2221","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Rekha rawat","Payment In-Progress","3705"
"2222","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Gyan Singh","Payment In-Progress","11700"
"2223","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Surendra Singh","Payment In-Progress","11700"
"2224","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Bharat Singh Rawat","Payment In-Progress","11700"
"2225","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Manohar lal kahar","Payment In-Progress","11700"
"2226","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","KAN SINGH","Payment In-Progress","11700"
"2227","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","PRIYANKA KAHAR","Payment In-Progress","3705"
"2228","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","SEEBU SONU","Payment In-Progress","1995"
"2229","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","GYANI","Payment In-Progress","11700"
"2230","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","SEETA DEVI","Payment In-Progress","3705"
"2231","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Sonu Singh Rawat","Payment In-Progress","3705"
"2232","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Kavita","Payment In-Progress","3705"
"2233","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Mamta Rawat","Payment In-Progress","3705"
"2234","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Sapna Rawat","Payment In-Progress","3705"
"2235","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Jay singh","Payment In-Progress","3705"
"2236","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","SHUBHAM","Payment In-Progress","3705"
"2237","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18164/2025-2026/260017","GANGANAGAR(Zilla GANGANAGAR)","KULDEEP INDORA","GANGANAGAR(SC)","03-Sep-2026","SATYAM TRADERS","Payment In-Progress","312111"
"2238","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","MOHANI","Payment In-Progress","3705"
"2239","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","SURENDRA","Payment In-Progress","3705"
"2240","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Fateh Singh","Payment In-Progress","3705"
"2241","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18179/2025-2026/261584","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","01-Sep-2026","MANNARMANNAN P","Payment In-Progress","394795"
"2242","Tamil Nadu","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18179/2025-2026/261583","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","01-Sep-2026","MANNARMANNAN P","Payment In-Progress","598286"
"2243","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18113/2026-2027/244708","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","BHUMARE SANDIPANRAO ASARAM","AURANGABAD_MH","10-Aug-2026","SIR VISHVESHWARAYYA SUSHIKSHIT BEROJGARABHIYANTA SEVA","Payment In-Progress","1999000"
"2244","Maharashtra","Construction of public toilets and bathrooms","WS/MP18361/2025-2026/219023","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","SANJAY DINA PATIL","MUMBAI NORTH EAST","07-Aug-2026","anurag urban tecinfra pvt ltd","Payment In-Progress","2597093"
"2245","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/179004","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","02-Sep-2026","SIDHNATH MAJUR SAHA SANSTHA S","Payment In-Progress","795187"
"2246","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241135","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","11-Aug-2026","JAI ENTERPRISES","Payment In-Progress","300428"
"2247","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241155","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","JAI ENTERPRISES","Payment In-Progress","287212"
"2248","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241137","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","SHRI CONSTRUCTION","Payment In-Progress","167914"
